datetime;consommation;thermique;nucleaire;eolien;solaire;hydraulique;pompage;bioenergies;ech_physiques
2014-09-17;106026.0;57.0;0.0;5692.0;1000.0;811.0;-302.0;1315.0;97453.0
2014-09-18;106925.0;40.0;0.0;2764.0;999.0;647.0;-285.0;1404.0;101369.0
2014-09-19;104514.0;33.0;0.0;2129.0;1239.0;870.0;-298.0;1374.0;99161.0
2014-09-20;87162.0;37.0;0.0;869.0;914.0;1455.0;-400.0;1374.0;82913.0
2014-09-21;77349.0;37.0;0.0;4986.0;924.0;2240.0;-397.0;1389.0;68180.0
2014-09-22;99000.0;40.0;0.0;7955.0;1461.0;2652.0;-259.0;1368.0;85798.0
2014-09-23;103512.0;39.0;0.0;2907.0;1423.0;3009.0;-225.0;1286.0;95089.0
2014-09-24;105052.0;62.0;0.0;3126.0;1093.0;3522.0;-182.0;1375.0;96065.0
2014-09-25;105431.0;51.0;0.0;1447.0;1413.0;3615.0;-141.0;1363.0;97687.0
2014-09-26;104360.0;36.0;0.0;583.0;1235.0;3770.0;-154.0;1331.0;97561.0
2014-09-27;86403.0;46.0;0.0;2867.0;1392.0;3907.0;-164.0;1293.0;77079.0
2014-09-28;77782.0;47.0;0.0;2224.0;1202.0;4017.0;-205.0;1295.0;69214.0
2014-09-29;101393.0;38.0;0.0;2461.0;886.0;3550.0;-223.0;1213.0;93472.0
2014-09-30;105291.0;22.0;0.0;2342.0;1100.0;2933.0;-349.0;1211.0;98034.0
2014-10-01;106851.0;276.0;0.0;2128.0;673.0;2199.0;-415.0;1512.0;100474.0
2014-10-02;107039.0;741.0;0.0;287.0;746.0;1533.0;-385.0;1531.0;102581.0
2014-10-03;104270.0;161.0;0.0;707.0;1199.0;1315.0;-393.0;1482.0;99794.0
