;ff;ff;ff;ff;precip;precip;precip;precip;hu;hu;hu;hu;t;t;t;t
;min;mean;max;sum;min;mean;max;sum;min;mean;max;sum;min;mean;max;sum
datetime;;;;;;;;;;;;;;;;
2016-03-11;0.0;1.8618898623279099;7.1;17851.8;0.0;0.00012513034410844632;0.2;1.2000000000000002;50.0;81.39535878515667;100.0;761128.0;271.25;279.5727138643068;285.15;2748479.35
2016-03-12;0.0;2.1965729166666663;8.3;21087.1;0.0;0.0002291666666666667;0.2;2.2;38.0;83.11036324786325;100.0;777913.0;270.25;278.58941056910567;286.75;2741319.8
2016-03-13;0.0;4.448536305865194;15.6;42701.5;0.0;0.0003958333333333334;0.2;3.8000000000000003;36.0;79.43861523667059;100.0;743466.0;271.75;279.34673747332045;287.65;2748492.55
2016-03-14;0.0;5.268170922355393;16.0;50548.1;0.0;0.00018757815756565235;0.4;1.8;42.0;77.2654980761009;100.0;722896.0;272.45;279.7593838958926;287.45;2751713.3
2016-03-15;0.0;4.257729166666667;13.5;40874.2;0.0;0.00012501302218981145;0.2;1.2000000000000002;40.0;73.20405982905983;100.0;685190.0;271.95;279.84245934959347;288.45;2753649.8
2016-03-16;0.0;6.109135416666667;16.6;58647.7;0.0;0.00014584852588811335;0.2;1.4000000000000001;42.0;71.83258547008548;100.0;672353.0;274.95;280.7407215447155;286.35;2762488.7
2016-03-17;0.0;4.039743456043383;15.4;38737.1;0.0;4.1710114702815434e-05;0.2;0.4;38.0;72.21799122900845;100.0;675166.0;271.15;279.5754171754172;286.15;2747667.2
2016-03-18;0.0;4.030925651345054;12.6;38060.0;0.0;0.000253941381864353;0.2;2.4000000000000004;40.0;79.15800912845033;100.0;728412.0;270.95;279.63090270605244;288.95;2707386.4
2016-03-19;0.0;5.946766486142083;16.7;56000.7;0.0;0.0001274426508071368;0.2;1.2000000000000002;50.0;77.83676582761251;100.0;714308.0;272.05;279.22582064823445;286.65;2696483.75
2016-03-20;1.5;6.526625;16.4;62655.6;0.0;0.0;0.0;0.0;54.0;73.77553418803419;90.0;690539.0;275.85;279.74309959349597;284.95;2752672.1
2016-03-21;0.0;4.32571518721077;13.2;41128.9;0.0;2.103934357248054e-05;0.2;0.2;46.0;72.53420371169616;100.0;672247.0;272.45;280.4589454247025;286.95;2733913.8
2016-03-22;0.0;2.8348062827225133;9.5;27072.4;0.0;0.00033507853403141365;0.2;3.2;44.0;77.88657357679914;100.0;725124.0;269.25;279.4719918283963;286.45;2736030.8
2016-03-23;0.0;2.5341173999789985;11.4;24132.4;0.0;0.00033343753256225906;0.2;3.2;44.0;77.36418038042316;100.0;723974.0;270.05;280.1139597520073;288.25;2756041.25
2016-03-24;0.0;3.2993776824034335;11.3;30750.2;0.0;0.008169661512745507;0.5;78.2;51.0;80.44264753132698;100.0;751093.0;270.35;280.90074870123254;286.25;2757602.65
2016-03-25;0.0;3.846730952633252;12.4;36301.6;0.0;0.009064266275905382;0.4;86.60000000000001;44.0;80.94192786603692;100.0;754055.0;276.85;283.3884155763882;290.15;2750851.35
2016-03-26;1.4;7.238055908513341;18.7;68356.2;0.0;0.04334250635055038;3.6;409.5;63.0;90.74883266369855;100.0;835706.0;277.75;283.46104878823155;288.75;2678423.45
2016-03-27;0.9;8.819890230515917;26.0;80349.2;0.0;0.09623283909939594;2.0;876.2;56.0;82.97340245689169;98.0;736223.0;277.35;281.95386261384834;286.95;2569445.55
2016-03-28;1.6;8.610510347816664;23.4;79466.4;0.0;0.03141185393867158;2.0;289.90000000000003;50.0;78.91656469017688;98.0;709381.0;276.55;281.91758045292016;287.05;2601817.35
2016-03-29;0.0;5.281603568320278;14.5;48548.5;0.0;0.009809584937954642;2.3;91.7;47.0;78.26918432319684;98.0;712954.0;275.15;282.0669783096485;288.55;2639864.85
2016-03-30;0.0;2.379693615117969;9.4;21281.6;0.0;0.013570954173123756;1.6;122.60000000000001;52.0;81.52432069775243;99.0;729072.0;277.05;280.88629935820734;285.15;2582187.75
2016-03-31;0.0;4.332441581131252;13.7;39676.5;0.0;0.0018516501470428057;1.2;17.0;41.0;75.31245843493681;100.0;679469.0;273.65;281.08569604086847;287.15;2641081.2
2016-04-01;0.0;3.367671203283647;13.3;31177.9;0.0;0.00043205875999135883;0.2;4.0;37.0;74.63528498558439;100.0;673061.0;271.15;280.92552116235;288.45;2668230.6
2016-04-02;0.0;3.708300139950479;12.1;34446.4;0.0;0.000452147701582517;1.2;4.2;36.0;73.05569676207315;100.0;661081.0;270.65;282.028350299087;288.55;2687448.15
2016-04-03;0.0;4.2898367391069305;15.3;39676.7;0.0;0.004325259515570935;2.0;40.0;45.0;81.57353757353758;100.0;734896.0;274.85;282.87863315417854;290.75;2684235.35
2016-04-04;0.0;4.295920376244121;13.7;39277.6;0.0;0.009012359181887784;1.6;82.4;43.0;81.52173424688307;99.0;725788.0;276.65;283.2434242779495;289.35;2657673.05
2016-04-05;0.0;3.242631004366812;10.7;29702.5;0.0;0.00019652800524074681;0.2;1.8;44.0;81.9889025893958;100.0;731423.0;273.95;282.77282735879163;289.45;2658347.35
2016-04-06;0.0;5.380092643652807;16.0;48781.3;0.0;0.004964147821290678;0.6;45.0;51.0;81.83187946074544;100.0;722330.0;274.75;282.15289029762545;287.65;2625996.95
2016-04-07;0.0;5.027354796606483;14.8;46221.5;0.0;0.013716958555422605;2.2;126.10000000000001;47.0;76.77239222693768;97.0;687420.0;275.15;280.56161755352974;285.85;2646818.3
2016-04-08;0.0;4.149817557415754;14.3;38668.0;0.0;0.00804980143823119;1.4;75.0;48.0;80.1461292809162;100.0;727807.0;274.45;281.9891067879929;287.65;2696097.85
2016-04-09;0.0;4.666939390677145;14.6;43351.2;0.0;0.013676961153556442;1.6;127.10000000000001;32.0;77.02186878727635;100.0;697356.0;274.25;280.6250471994966;285.65;2675479.2
2016-04-10;0.0;6.018993159469859;21.9;56313.7;0.0;0.006041488451668092;4.6;56.5;47.0;78.60252331321996;98.0;716462.0;274.85;281.89023970818135;290.05;2704736.85
2016-04-11;0.0;2.779626026805015;13.4;25717.1;0.0;0.0013692768506632436;0.6;12.8;28.0;75.76881720430107;100.0;690557.0;274.45;282.89763393787786;290.35;2714119.9
2016-04-12;0.0;2.267021045779996;9.0;20897.4;0.0;0.0022763878449479223;1.8;21.2;23.0;76.76123843102688;100.0;696685.0;272.25;283.27614064462114;291.75;2706986.8
2016-04-13;0.0;2.7678506081153804;10.5;25716.1;0.0;0.005154972018941025;2.1;47.9;37.0;80.01600971624158;100.0;724705.0;273.45;283.10003669917165;290.65;2699925.05
2016-04-14;0.0;4.836399572649572;18.3;45268.7;0.0;0.012319692274815686;1.5;115.30000000000001;67.0;88.06678363855686;100.0;803081.0;277.65;283.11750703198254;287.95;2717644.95
2016-04-15;0.0;6.218401367813636;16.2;58191.8;0.0;0.005706957358127605;1.2;53.4;42.0;82.1550778679535;99.0;749090.0;279.95;283.95761617003546;289.25;2725425.2
2016-04-16;0.0;3.7852303088596773;12.8;35418.4;0.0;0.003013786470022443;1.6;28.2;42.0;75.13721618953603;100.0;685026.0;272.75;281.6370897155361;287.95;2702871.15
2016-04-17;0.0;2.6344591705857203;9.8;24648.0;0.0;0.0012398460880718256;1.0;11.6;32.0;69.1016893374287;100.0;629931.0;271.15;279.7718320133389;287.85;2684690.5
2016-04-18;0.0;1.9842229115413412;8.9;18550.5;0.0;0.00017112299465240642;0.2;1.6;31.0;68.85861690450055;100.0;627302.0;270.25;280.5388309521327;288.95;2690086.85
2016-04-19;0.0;5.023596106535458;16.0;46965.6;0.0;8.557064926730132e-05;0.2;0.8;36.0;69.32806324110672;100.0;631440.0;272.15;283.52855652899456;293.25;2718471.8
2016-04-20;0.0;6.096975203078239;16.3;57043.3;0.0;0.0036332549690104724;0.4;34.0;36.0;67.22658477736346;94.0;612972.0;277.65;285.2035319858304;292.05;2737383.5
2016-04-21;0.0;2.3352469531751123;9.4;21843.9;0.0;0.007364258230012827;0.6;68.9;46.0;79.79877112135176;100.0;727286.0;281.95;286.40003126954343;294.45;2747721.9
2016-04-22;0.0;3.296120551458801;11.3;30841.8;0.0;0.006969535008017103;4.8;65.2;51.0;88.13514699429574;100.0;803440.0;281.65;285.4390683618174;292.45;2739073.3
2016-04-23;0.0;4.293602150537635;13.3;39930.5;0.0;0.0004919259972195487;0.2;4.6000000000000005;44.0;77.53659607154614;100.0;706591.0;272.65;282.03055874074846;287.45;2705519.15
2016-04-24;0.0;3.5690154757984853;11.8;32517.3;0.0;0.00038498556304138594;0.4;3.6;38.0;72.85972999670727;100.0;663825.0;271.65;280.4260296110937;287.25;2689566.05
2016-04-25;0.0;4.360797918473548;13.9;40224.0;0.0;0.000962360992301112;0.4;9.0;54.0;79.52320860309447;100.0;724695.0;270.75;280.7517721255082;285.65;2693251.75
2016-04-26;0.0;4.980384820951363;14.0;46591.5;0.0;0.005014433871485085;1.6;46.9;38.0;68.11651124520021;99.0;620882.0;273.15;280.5944189682126;285.35;2692303.45
2016-04-27;0.0;3.299358768836165;13.4;30872.1;0.0;0.004306935983755478;1.4;40.300000000000004;41.0;71.0245694855764;99.0;647531.0;271.15;279.4388923621965;285.55;2681775.05
2016-04-28;0.0;3.491972207375735;18.3;32667.4;0.0;0.0019666524155622063;0.6;18.400000000000002;39.0;72.16805616498465;100.0;657884.0;270.85;280.3340871196332;287.05;2690085.9
2016-04-29;0.0;4.0886680988184745;14.0;38065.5;0.0;0.041482277121374866;3.7;386.2;52.0;83.89382579933847;100.0;760917.0;272.35;281.07959162303666;287.45;2684310.1
2016-04-30;0.0;4.50647000767628;13.8;41094.5;0.0;0.004967649961618599;1.0;45.300000000000004;30.0;68.80256785674062;100.0;610898.0;273.15;281.38435196067957;287.45;2633476.15
2016-05-01;0.0;2.6972892888498685;9.1;24577.7;0.0;0.0003292361720807726;0.2;3.0;28.0;78.08487376014428;100.0;692769.0;270.95;282.26907613344736;289.45;2639780.4
2016-05-02;0.0;4.239870828848224;11.5;39388.4;0.0;0.0027568382511307344;1.0;25.6;47.0;84.21303867403314;100.0;762128.0;278.35;284.96769150052467;292.95;2715742.1
2016-05-03;0.0;2.7178537003320122;9.0;25376.6;0.0;0.00074930421751231;3.8;7.0;1.0;72.38094714866499;100.0;658739.0;274.85;283.0777064411734;291.35;2711601.35
2016-05-04;0.0;3.157758989726027;8.9;29506.1;0.0;0.00010702054794520547;0.2;1.0;31.0;64.42091388400704;100.0;586488.0;273.45;285.1847662771285;294.55;2733210.8
2016-05-05;0.0;3.445243693886276;11.0;32233.7;0.0;4.275331338178709e-05;0.2;0.4;24.0;59.92079859587538;99.0;546238.0;275.45;287.47961650687785;296.95;2758654.4
2016-05-06;0.0;2.9732152500270006;11.0;27529.0;0.0;0.0006264175396911115;0.4;5.800000000000001;38.0;72.16465240048785;100.0;650853.0;278.25;287.64792609748395;296.55;2732367.65
2016-05-07;0.0;3.717409440175631;8.4;33865.6;0.0;0.0017125919420353498;0.6;15.600000000000001;46.0;77.06844063592288;99.0;683520.0;282.95;288.4226066959033;295.55;2696462.95
2016-05-08;0.0;4.548529734474435;15.3;41455.3;0.0;0.006671055518981787;1.2;60.800000000000004;38.0;71.87063331079558;98.0;637780.0;283.45;289.16261492409666;295.95;2704827.1
2016-05-09;0.0;4.075925724834401;12.0;37535.2;0.0;0.011606464909426186;6.5;107.0;43.0;79.99821607760063;99.0;717504.0;282.95;288.80396909398814;295.35;2728619.9
2016-05-10;0.0;1.7177258600364378;6.2;16028.1;0.0;0.011816917976686986;7.2;110.5;43.0;86.17245166959579;100.0;784514.0;281.35;287.72049248747913;295.85;2757513.2
2016-05-11;0.0;1.9035160515396377;9.4;17432.4;0.0;0.012732009117551285;5.2;117.3;49.0;90.78734543834243;100.0;814998.0;280.25;286.4436653976311;294.85;2708611.3
2016-05-12;0.0;2.612856990052412;11.4;24427.6;0.0;0.006225930680359436;6.4;58.2;64.0;93.6238884619607;100.0;852820.0;282.55;285.9245333194285;292.65;2741730.35
2016-05-13;0.0;3.155743134950315;10.0;29534.6;0.0;0.0008549748851127498;0.6;8.0;70.0;89.84022370874;100.0;819253.0;281.55;286.3347484112928;291.55;2748527.25
2016-05-14;0.0;3.720888175494917;10.9;34771.7;0.0;0.0002781641168289291;0.2;2.6;49.0;79.8293620292083;100.0;727006.0;275.55;285.08727310661385;293.25;2732846.6
2016-05-15;0.0;1.939349701393497;6.1;14613.0;0.0;7.963897000265464e-05;0.2;0.6000000000000001;36.0;68.8762268266085;99.0;505276.0;273.15;285.1606182100362;291.45;2204861.9
2016-05-16;0.0;2.200331550802139;10.6;20573.1;0.0;2.1390374331550803e-05;0.2;0.2;48.0;77.29140599275601;99.0;704202.0;276.45;285.62499739338966;291.35;2739429.35
2016-05-17;0.0;2.5048728360760846;9.6;23440.6;0.0;0.0004274874425563749;0.4;4.0;43.0;79.43617021276596;100.0;724299.0;277.05;285.50462596374246;292.05;2740273.4
2016-05-18;0.0;6.235671449989291;15.6;58228.7;0.0;0.01763132555900289;4.4;164.8;52.0;80.78390855132996;99.0;734972.0;280.55;285.4485800793485;289.95;2734026.5
2016-05-19;0.0;4.127220708446866;11.8;30293.8;0.0;0.0034090909090909094;0.2;25.200000000000003;47.0;87.92673378076063;100.0;628852.0;279.15;285.1844928305895;291.45;2148009.6
2016-05-20;0.5;4.172375149602873;11.7;38348.3;0.0;0.0022843467855977375;0.4;21.0;57.0;85.96201541727181;100.0;769446.0;284.15;287.6662514576487;293.55;2713555.75
2016-05-21;0.0;4.216396139504277;12.3;38445.1;0.0;0.0198749588680487;1.9;181.20000000000002;44.0;85.19249831043028;100.0;756339.0;283.25;287.6593502885232;296.65;2691916.2
2016-05-22;0.0;3.788144213381555;13.8;33517.5;0.0;0.024041181129087;3.7;212.5;57.0;85.5453596287703;99.0;737401.0;278.95;284.88916299559475;289.95;2586793.6
2016-05-23;0.0;3.733787828400399;11.3;33682.5;0.0;0.000942245870746037;2.1;8.5;44.0;76.67327183692062;99.0;673268.0;276.85;285.0227675197063;291.75;2639595.85
2016-05-24;0.0;4.121907131011608;14.8;24855.1;0.0;0.00013245033112582781;0.2;0.8;41.0;73.80221843003413;100.0;432481.0;274.85;285.49483037156705;294.55;1767213.0
